NAME,NAME_EN,AMENITY,SHOP,OSM_TYPE,OSM_ID,longitude,latitude
The GIN House,,restaurant,,node,2704763676,23.3314341,42.6915582
"Ханче ""Шумако""",,restaurant,,node,2706960724,23.3510173,42.6019392
Лазиза Дюнер,Laziza Döner,fast_food,,node,2724962008,23.3036051,42.6696315
Go fresh,,fast_food,,node,2806940673,23.3125856,42.6982562
Meat the Greeks,,restaurant,,node,2868691486,23.3215437,42.6942622
Ствфанович,,restaurant,,node,2876580712,23.3189448,42.6685027
Stani's place,,restaurant,,node,2894923680,23.4156176,42.6634639
Art Club,,bar,,node,2902654250,23.3393279,42.6902288
Царевецъ,,restaurant,,node,2902729075,23.3421544,42.6896045
Pizza Don Vito,Pizza Don Vito,restaurant,,node,2902881665,23.3428093,42.6894615
,Soup House,cafe,,node,2910142437,23.3161787,42.6923958
Париж,,cafe,,node,2910162102,23.3157054,42.6940591
Coyote,,cafe,,node,2910167009,23.3165216,42.6934182
"Книжарница-кафе ""Защо не?""",,cafe,books,node,2910991034,23.3169428,42.693106
Бумеранг,,cafe,,node,2911969668,23.3169715,42.6902452
Wonderland,,bar,,node,2912042839,23.3177437,42.6909707
Papous Tsipouradiko,,bar,,node,2912075670,23.318503,42.6916326
Seven,,bar,,node,2912508768,23.3176287,42.6923153
J.J. Murphy’s,,pub,,node,2912518609,23.3185554,42.6934721
Пасторант,,restaurant,,node,2912523701,23.318984,42.6933313
Baskerville,,bar,,node,2912541949,23.3186521,42.6940747
The Sushi Bar,,restaurant,,node,2912565486,23.3188342,42.6940429
Coda,,bar,,node,2912710603,23.3190705,42.6946385
"Бирария ""1516""",,pub,,node,2912723284,23.3194176,42.6947607
Coffee Fellows,,cafe,,node,2912778563,23.3191052,42.6899954
Vitosha Street,,cafe,,node,2912783201,23.320409,42.6942146
Sofia bar & dinner,,bar,,node,2912788061,23.3208347,42.6942108
Wok to Walk,,fast_food,,node,2912788062,23.3204831,42.6944307
Сладоледи Afreddo,,ice_cream,,node,2912844104,23.3202918,42.6937618
Memento,,cafe,,node,2913294862,23.3197474,42.6920809
Lavele Garden,,restaurant,,node,2913324119,23.3196195,42.6918985
Pizza Roma,,restaurant,,node,2914115724,23.3188618,42.6913601
Streetbar & Co.,,bar,,node,2914145486,23.3194071,42.6909915
Добро,Dobro,restaurant,,node,2914151571,23.3185734,42.6910803
Senior Burrito,,fast_food,,node,2914215215,23.3192407,42.6904707
Gelateria Italiana,,ice_cream,,node,2914448605,23.3189599,42.6895864
Garden House,,restaurant,,node,2915068949,23.3194856,42.689105
Franco's,,restaurant,,node,2915077197,23.3196512,42.6897296
Ale House,,pub,,node,2916021369,23.3204954,42.6900767
Osteria Tartufo,,restaurant,,node,2916103482,23.3205483,42.6911333
Caligo,,bar,,node,2916105578,23.3205792,42.6913226
Green Bar,,bar,,node,2918345864,23.3198726,42.6909679
Уго,Ugo,restaurant,,node,2918379080,23.3201603,42.6916633
Constantinoff,,bar,,node,2918444635,23.320481,42.6930493
Хаджидрагановите изби,Hadjidraganov's Cellars,restaurant,,node,2918462703,23.3210994,42.6929184
Cactus,,restaurant,,node,2918463729,23.3210641,42.6927501
bar.bites,,restaurant,,node,2919472049,23.3220444,42.6920504
Raffy,,restaurant,,node,2919492355,23.3224286,42.6920426
Bistro Pesto,,restaurant,,node,2919492356,23.3220553,42.691851
Daro,,cafe,,node,2919505570,23.3220191,42.691507
McDonald's,,fast_food,,node,2919517679,23.3239967,42.6919161
Уго,,restaurant,,node,2919529237,23.3236513,42.6914593
The Cocktail Bar,,bar,,node,2920068096,23.3223424,42.6922439
